month            fsl         fslrf       hml           rf        rmrf        smb
01dec1990        2.77        2.17        -1.5          .6        2.35         .77  
01jan1991        3.01        2.49       -1.73         .52        4.39        3.85  
01feb1991         1.4         .92        -.59         .48         7.1        3.89  
01mar1991         .52         .08       -1.19         .44        2.45        3.92  
01apr1991        1.32         .79        1.43         .53         -.2         .52  
01may1991        1.82        1.35        -.56         .47         3.6        -.33  
01jun1991          .3        -.12        1.23         .42       -4.82         .07  
01jul1991        1.98        1.49       -1.29         .49        4.19        -.98  
01aug1991           1         .54        -.79         .46        2.22        1.58  
01sep1991         .73         .27       -1.04         .46       -1.56        1.66  
01oct1991        2.75        2.33        -.38         .42        1.36         .85  
01nov1991         .01        -.38       -1.77         .39       -4.12        -.53  
01dec1991        1.56        1.18       -3.97         .38        10.3        -2.3  
01jan1992         .42         .08        4.62         .34        -.46        8.42  
01feb1992        2.72        2.44        6.35         .28        1.06         .85  
01mar1992         .94          .6         3.7         .34       -2.71       -1.08  
01apr1992        2.79        2.47        4.31         .32        1.02       -6.08  
01may1992        -.27        -.55        1.18         .28         .36         .43  
01jun1992        1.22          .9        3.28         .32       -2.25       -3.06  
01jul1992        -.09         -.4        -.49         .31        3.68        -.37  
01aug1992         .86          .6        -1.1         .26       -2.34        -.11  
01sep1992         .33         .07         -.2         .26         .98         .58  
01oct1992        1.33         1.1       -2.05         .23         .87        2.06  
01nov1992        1.36        1.13       -1.51         .23        3.79        3.62  
01dec1992        1.36        1.08        2.54         .28         1.5        1.65  
01jan1993        -.09        -.32        5.83         .23        1.03        2.02  
01feb1993        1.86        1.64         6.5         .22         .32       -3.34  
01mar1993        1.79        1.54        1.22         .25        2.26         .26  
01apr1993        -.01        -.25        2.64         .24       -2.78        -.65  
01may1993        1.65        1.43       -3.42         .22        2.74        1.99  
01jun1993         .79         .54        2.62         .25         .29        -.29  
01jul1993         .02        -.22        3.23         .24        -.32         .96  
01aug1993        1.71        1.46        -.38         .25         3.7         .28  
01sep1993         .28         .02        -.43         .26         -.2        3.08  
01oct1993        1.71        1.49       -1.62         .22        1.59        1.47  
01nov1993         .19        -.06        -.34         .25       -2.01       -1.46  
01dec1993         .39         .16         .59         .23        1.72        1.23  
01jan1994        2.11        1.86        2.15         .25         2.9          .1  
